mirID	logFC	unshrunk.logFC	logCPM	PValue
dme-miR-2489-5p_MIMAT0020910 	52.079541716789	53.479183629989	-3.37647344581253	8.02458955385869e-37
dme-miR-1002-5p_MIMAT0005483 	43.1057338651796	43.1547786266794	-1.29064992675281	9.33886676936413e-36
dme-miR-1002-3p_MIMAT0020864 	44.4416378656052	44.5212754198279	-1.76668386076839	3.51415375695705e-31
dme-miR-968-5p_MIMAT0005484 	41.2375963592608	41.2629926599816	-0.504536166949075	8.32305233056966e-34
dme-miR-968-3p_MIMAT0020865 	52.9570975930274	55.0702285871707	-3.43340324545949	5.04413575141727e-39
dme-miR-4943-5p_MIMAT0020151 	46.4186304905777	46.5784933091159	-2.44296694817544	6.76845077486176e-29
dme-miR-4943-3p_MIMAT0020152 	48.9651439404676	49.3908027682982	-2.97966746079749	1.21593509617426e-31
dme-miR-2497-5p_MIMAT0012208 	48.9258390047807	49.3114230467871	-3.00087125620885	7.81530876965072e-33
dme-miR-2497-3p_MIMAT0012209 	46.1767730825414	46.3223529730825	-2.36616085301906	1.59041779323428e-31
dme-miR-9c-5p_MIMAT0000392 	17.4200696645851	17.4200762217866	11.2231283217879	3.84465946084834e-42
dme-miR-9c-3p_MIMAT0020828 	42.8204892393745	42.865137514005	-1.17084069149378	4.37984814452047e-36
dme-miR-306-5p_MIMAT0000393 	19.398956980567	19.3989701806272	10.2501841672678	3.72296241360996e-35
dme-miR-306-3p_MIMAT0000394 	32.3085527890302	32.3097579157706	3.85653731666343	2.35340653965914e-40
dme-miR-79-3p_MIMAT0000352 	33.5034088066323	33.5051496916665	3.19844883322663	1.63839104329622e-42
dme-miR-79-5p_MIMAT0020814 	38.9210360164152	38.9324243925341	0.552433088684445	1.64278883309884e-38
dme-miR-9b-5p_MIMAT0000395 	21.0757441412614	21.0757678442233	9.41647276052268	1.83210996647017e-40
dme-miR-9b-3p_MIMAT0020829 	29.3583770047045	29.358790784649	5.26092470843103	8.00421567324593e-40
dme-miR-1006-3p_MIMAT0005019 	29.2560049841172	29.2564031218054	5.3067090630869	8.2414851676425e-41
dme-miR-1006-5p_MIMAT0020903 	38.0875402226099	38.0961767049414	0.970738583230841	1.25168379276477e-37
dme-miR-124-3p_MIMAT0000351 	23.0793559198778	23.0794035157394	8.4179328089069	1.89336028615286e-39
dme-miR-124-5p_MIMAT0020813 	24.8160150277697	24.8161005599175	7.52677557078636	8.42046033986997e-44
dme-miR-287-3p_MIMAT0000360 	54.9038781827184	288539008.177793	-3.52037075777795	1
dme-miR-100-5p_MIMAT0000357 	23.525410030198	23.5254646247614	8.16954085984347	3.85468213708158e-36
dme-miR-100-3p_MIMAT0020818 	30.1866298399382	30.1871876776631	4.86343720117887	2.03774856311221e-45
dme-let-7-5p_MIMAT0000396 	10.5507464805677	10.5507470611375	14.664038458998	2.25819796929994e-34
dme-let-7-3p_MIMAT0020830 	32.9551074371909	32.9566033115196	3.52575441733663	4.45031136258791e-41
dme-miR-125-5p_MIMAT0000397 	18.1201807987295	18.1201893148024	10.8985535466158	2.44475693612409e-37
dme-miR-125-3p_MIMAT0020831 	25.4609982489323	25.4611051071369	7.20285982188879	5.28433670178241e-43
dme-miR-4946-5p_MIMAT0020156 	54.9038781827184	288539008.177793	-3.52037075777795	1
dme-miR-2a-3p_MIMAT0000106 	19.3868915883312	19.3869045793966	10.239322717306	3.00355567738149e-42
dme-miR-2a-2-5p_MIMAT0020781 	23.7334466573058	23.7335071481083	8.10951850301313	8.92551169553813e-44
dme-miR-2a-3p_MIMAT0000106_1 	19.3991940855417	19.3992071324235	10.2331910735357	2.88341686241689e-42
dme-miR-2a-1-5p_MIMAT0020780 	33.3596547470951	33.3613132305203	3.27055428223177	2.25387660632887e-38
dme-miR-2b-3p_MIMAT0000107_1 	19.9719187283936	19.9719346373701	9.94600252525669	3.85447445860558e-42
dme-miR-2b-2-5p_MIMAT0020783 	24.0045323597995	24.0045974108969	7.94331569885011	3.17594356943239e-38
dme-miR-1-3p_MIMAT0000105 	21.335941925939	21.3359675180488	9.26651216919374	1.73484024836379e-19
dme-miR-1-5p_MIMAT0020779 	41.8824283191213	41.9145023845075	-0.787283623888109	3.58833635264642e-33
dme-miR-4973-5p_MIMAT0020201 	40.426554283564	40.4458097233937	-0.148219155197278	1.27070130126101e-37
dme-miR-4973-3p_MIMAT0020202 	50.4430335089264	51.2829963921877	-3.16391738451966	1.47558427134108e-34
dme-miR-133-3p_MIMAT0000340 	9.7015010002219	9.70150143006172	15.105364507664	5.2180325468811e-30
dme-miR-133-5p_MIMAT0020806 	29.3195556257708	29.3199702074477	5.30243353556508	1.97879518272888e-46
dme-miR-288-3p_MIMAT0000363 	54.9038781827184	288539008.177793	-3.52037075777795	1
dme-miR-9374-5p_MIMAT0035211 	42.5314616506151	42.5718606646887	-1.06009399270193	1.93236670734315e-33
dme-miR-9374-3p_MIMAT0035212 	49.7899113052967	50.3395692479792	-3.13113340602452	4.27203310617111e-33
dme-miR-4974-5p_MIMAT0020203 	46.9829809625779	47.1748406584136	-2.57859158049577	3.19868015335927e-31
dme-miR-4974-3p_MIMAT0020204 	51.5257947504238	52.6292698034447	-3.33057390443357	2.81024915371974e-39
dme-miR-2490-5p_MIMAT0012197 	52.435454514125	54.4189533562477	-3.38961087827289	1.12884751997444e-40
dme-miR-2490-3p_MIMAT0020911 	52.628531057066	54.4184812731926	-3.4157900392519	7.30992265282374e-39
dme-miR-2279-5p_MIMAT0011784 	41.5431442941944	41.5716036839093	-0.638826343144617	1.21600287778318e-41
dme-miR-2279-3p_MIMAT0011785 	52.6031622446842	54.4858965113631	-3.40575418391103	1.73099770687562e-38
dme-miR-4975-5p_MIMAT0020205 	36.771849872138	36.7772691457166	1.58755612203972	5.92744472840097e-40
dme-miR-4976-5p_MIMAT0020206 	37.5944558850302	37.6025175950421	1.35158173116474	9.61915656979666e-40
dme-miR-4976-3p_MIMAT0020207 	52.967909922202	144269530.040706	-3.40430244421858	4.67940661042805e-25
dme-miR-4977-5p_MIMAT0020208 	54.2002040316315	144269532.209852	-3.49094770334779	1.3656103927588e-26
dme-miR-4977-3p_MIMAT0020209 	52.5593980447238	54.4881764911348	-3.40496312079116	1.63522473756093e-38
dme-miR-4909-3p_MIMAT0020515 	45.0546211883954	45.1514758081826	-2.00948912050722	1.14593086932161e-35
